Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C3, C7",0402,6,100nF,
"C10, C13, C8",0402,3,10uF,
C11,0402,1,22pF,
"C12, C9",0402,2,1uF,
"C2, C6",0402,2,4.7uF,C307423
"C4, C5",0402,2,22uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C22461793
"D2, D5, D6",D_DFN0603-2L,3,H5VL06B,C7420373
D3,D_0603,1,Red,C2286
D4,D_SOD-123,1,B5819W,
L1,1008,1,2.2uH,
"Q1, Q2",SOT-23,2,BC817,
Q3,SOT-23,1,DMG3414U,
"R1, R11, R14, R15, R3",0402,5,10k,
R10,0402,1,22.1k,C43473
R12,R_0402,1,10kΩ,C25744
"R13, R5",R_0402,2,5.1kΩ,C25905
R16,R_0402,1,4.7kΩ,C25900
"R18, R9",0402,2,100k,
R2,0402,1,10k,C60490
R4,0402,1,1k,C106235
"R6, R7, R8",0402,3,2.2k,
"TP1, TP2, TP3, TP4",TestPoint_Pad_3.0x3.0mm,4,TestPoint,
"TP5, TP6",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,C150772
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,C969151
U3,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DH,
U4,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U5,SY8089AAAC_SGY,1,SY8089AAAC,
U6,ESP32-WROOM-32D,1,ESP32-WROOM-32E,C701343
USB1,USB-C-TH_HX-TYPE-C-16P-180-LC-BH10.0-TYPE-C-VERTICAL,1,HX-TYPE-C 16P 180 LC-B H10.0 TYPE C VERTICAL,C49261584
