Designator,Mid X,Mid Y,Rotation,Layer
C1,135.24,-44.34,180.0,bottom
C10,152.26,-48.2225,90.0,bottom
C11,151.05,-45.31,180.0,bottom
C12,138.12,-59.34,180.0,bottom
C13,138.975,-52.13,180.0,bottom
C14,138.965,-51.18,180.0,bottom
C15,137.56,-52.12,90.0,bottom
C16,143.86,-63.2,180.0,bottom
C2,149.07,-51.46,180.0,bottom
C3,135.24,-46.22,180.0,bottom
C4,135.25,-43.38,180.0,bottom
C5,135.24,-45.29,180.0,bottom
C6,141.45,-62.71,270.0,bottom
C7,142.41,-62.71,90.0,bottom
C8,146.68,-49.3325,270.0,bottom
C9,136.06,-59.32,0.0,bottom
D1,144.98,-53.83,90.0,bottom
D2,144.26,-64.88,0.0,top
D3,144.9,-47.32,180.0,bottom
D4,150.42,-61.7125,270.0,bottom
D5,146.25,-63.7,270.0,top
D6,147.96,-64.37,270.0,top
L1,154.41,-48.4025,270.0,bottom
Q1,154.1975,-52.71,180.0,bottom
Q2,152.53,-55.32,270.0,bottom
Q3,153.3,-59.41,270.0,bottom
R1,135.29,-50.65,0.0,bottom
R10,151.08,-43.41,0.0,bottom
R11,151.05,-46.29,180.0,bottom
R12,136.52,-52.1,90.0,bottom
R13,142.87,-69.22,0.0,bottom
R14,152.23,-51.05,0.0,bottom
R15,155.22,-54.97,0.0,bottom
R16,142.38,-58.93,270.0,bottom
R18,153.73,-61.9875,0.0,bottom
R2,149.09,-57.365,0.0,bottom
R3,151.23,-53.19,270.0,bottom
R4,150.5,-57.91,270.0,bottom
R5,148.36,-62.92,90.0,bottom
R6,139.68,-56.62,270.0,bottom
R7,135.14,-47.91,180.0,bottom
R8,140.7,-56.62,270.0,bottom
R9,151.07,-44.37,180.0,bottom
U1,149.29,-54.7,180.0,bottom
U2,145.5,-60.0825,180.0,bottom
U3,138.115,-48.31,90.0,bottom
U4,137.3,-61.65,0.0,bottom
U5,149.550249,-48.7925,0.0,bottom
U6,144.84,-51.26,0.0,top
USB1,145.11,-66.89,0.0,bottom
