"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1,C3,C7,C14-C16","100nF","Capacitor_SMD:C_0402_1005Metric","6","Unpolarized capacitor, small symbol","","",""
"C2,C6","4.7uF","Capacitor_SMD:C_0402_1005Metric","2","Unpolarized capacitor, small symbol","","","C307423"
"C4,C5","22uF","Capacitor_SMD:C_0402_1005Metric","2","Unpolarized capacitor, small symbol","","",""
"C8,C10,C13","10uF","Capacitor_SMD:C_0402_1005Metric","3","Unpolarized capacitor, small symbol","","",""
"C9,C12","1uF","Capacitor_SMD:C_0402_1005Metric","2","Unpolarized capacitor, small symbol","","",""
"C11","22pF","Capacitor_SMD:C_0402_1005Metric","1","Unpolarized capacitor, small symbol","","",""
"D1","WS2812B","PCM_JLCPCB:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1","RGB LED with integrated controller","","","C22461793"
"D2,D5,D6","H5VL06B","PCM_JLCPCB:D_DFN0603-2L","3","8A 10V 80W 5.6V Bidirectional 5V DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS","hongjiacheng","","C7420373"
"D3","Red","PCM_JLCPCB:D_0603","1","-40°C~+85°C Red 0603 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C2286"
"D4","B5819W","Diode_SMD:D_SOD-123","1","Schottky diode","","",""
"L1","2.2uH","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","1","Inductor, small symbol","","",""
"Q1,Q2","BC817","Package_TO_SOT_SMD:SOT-23","2","0.8A Ic, 45V Vce, NPN Transistor, SOT-23","","",""
"Q3","DMG3414U","Package_TO_SOT_SMD:SOT-23","1","4.2A Id, 20V Vds, N-Channel MOSFET, SOT-23","","",""
"R1-R3,R11,R14,R15","10k","Resistor_SMD:R_0402_1005Metric","6","Resistor, small symbol","","","C60490"
"R4","1k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","","C106235"
"R5,R13","5.1kΩ","PCM_JLCPCB:R_0402","2","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25905"
"R6-R8","2.2k","Resistor_SMD:R_0402_1005Metric","3","Resistor, small symbol","","",""
"R9,R18","100k","Resistor_SMD:R_0402_1005Metric","2","Resistor, small symbol","","",""
"R10","22.1k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","","C43473"
"R12","10kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25744"
"R16","4.7kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25900"
"TP1-TP4","TestPoint","TestPoint:TestPoint_Pad_3.0x3.0mm","4","test point","","",""
"TP5,TP6","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","2","test point","","",""
"U1","MCP73831-2-MC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","1","Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in DFN-8 package","","","C150772"
"U2","CP2102N-Axx-xQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1","USB to UART master bridge, QFN-24","","","C969151"
"U3","LIS3DH","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","1","3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface, LGA-16","","",""
"U4","DRV2605LDGS","Package_SO:VSSOP-10_3x3mm_P0.5mm","1","Haptic driver for LRAs and ERMs with effect library, 2-5.2V, VSSOP-10","","",""
"U5","SY8089AAAC","footprints:SY8089AAAC_SGY","1","","","",""
"U6","ESP32-WROOM-32E","RF_Module:ESP32-WROOM-32D","1","RF Module, ESP32-D0WD-V3 SoC, without PSRAM, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","","","C701343"
"USB1","HX-TYPE-C 16P 180 LC-B H10.0 TYPE C VERTICAL",":USB-C-TH_HX-TYPE-C-16P-180-LC-BH10.0-TYPE-C-VERTICAL","1","","","",""
